S.No.,India/Bigger States,Total - 2000,Total - 2005,Total - 2013,Total - Average annual compound rate of change (%) - 2005/2000,Total - Average annual compound rate of change (%) - 2013/2005,Rural - 2000,Rural - 2005,Rural - 2013,Rural - Average annual compound rate of change (%) - 2005/2000,Rural - Average annual compound rate of change (%) - 2013/2005,Urban - 2000,Urban - 2005,Urban - 2013,Urban - Average annual compound rate of change (%) - 2005/2000,Urban - Average annual compound rate of change (%) - 2013/2005
India,India,3.2,2.9,2.3,-1.9,-2.9,3.5,3.2,2.5,-1.8,-3,2.3,2.1,1.8,-1.8,-1.9
1,Andhra Pradesh,2.3,2,1.8,-2.4,-1.5,2.5,2.2,1.9,-2.4,-1.9,2,1.7,1.7,-3.6,0.3
2,Assam,3.1,2.9,2.3,-1.4,-2.8,3.3,3.1,2.4,-1,-3.3,1.8,1.6,1.5,-2.4,-0.7
3,Bihar,4.5,4.3,3.4,-0.9,-2.9,4.7,4.4,3.5,-1.1,-2.9,3.4,3.2,2.5,-1.1,-3.1
4,Chhatisgarh,NA,3.4,2.6,NA,-3.3,NA,3.7,2.8,NA,-3.5,NA,2.2,1.8,NA,-2.6
5,Delhi,NA,2.1,1.7,NA,-2.7,NA,2.2,1.8,NA,-2.3,NA,2.1,1.7,NA,-2.6
6,Gujarat,2.9,2.8,2.3,-1,-2.2,3.2,3.1,2.5,-0.9,-2.5,2.3,2.3,2,0,-1.7
7,Haryana,3.2,2.8,2.2,-2.5,-3,3.4,3,2.3,-2.3,-3.4,2.6,2.3,2,-2,-2
8,Himachal Pradesh,2.3,2.2,1.7,-1.2,-3,2.3,2.2,1.7,-0.5,-3.4,1.8,1.5,1.2,-4,-2.5
9,Jammu & Kashmir,NA,2.4,1.9,NA,-2.8,NA,2.6,2,NA,-3.4,NA,1.6,1.3,NA,-2.6
10,Jharkhand,NA,3.5,2.7,NA,-3.3,NA,3.9,2.9,NA,-3.6,NA,2.3,2,NA,-1.6
11,Karnataka,2.4,2.2,1.9,-1.6,-1.9,2.6,2.5,2,-1,-2.6,2,1.8,1.6,-2.1,-1.4
12,Kerala,1.9,1.7,1.8,-1.9,0.5,1.9,1.7,1.9,-1.8,1.1,1.8,1.7,1.8,-1.3,0.8
13,Madhya Pradesh,4,3.6,2.9,-1.9,-2.8,4.5,4,3.1,-2.2,-3.2,2.6,2.5,2,-0.9,-2.7
14,Maharashtra,2.5,2.2,1.8,-2.7,-2.4,2.6,2.4,1.9,-1.7,-2.8,2.2,1.9,1.6,-2.6,-2.3
15,Odisha,2.8,2.6,2.1,-1.8,-2.4,2.9,2.7,2.2,-1.4,-2.5,2.1,1.7,1.5,-3.9,-1.7
16,Punjab,2.4,2.1,1.7,-2.6,-2.6,2.6,2.2,1.7,-3.2,-3.2,2.1,1.9,1.6,-1.6,-2.4
17,Rajasthan,4.1,3.7,2.8,-2.2,-3.3,4.4,4,3,-1.8,-3.6,2.9,2.7,2.3,-1.2,-2.1
18,Tamil Nadu,2.1,1.7,1.7,-3.8,-0.2,2.2,1.8,1.7,-3.7,-0.8,1.8,1.6,1.7,-2.2,0.7
19,Uttar Pradesh,4.7,4.2,3.1,-2.1,-3.8,5,4.5,3.3,-2.2,-3.7,3.5,3.3,2.5,-1,-3.5
20,West Bengal,2.4,2.1,1.6,-2.5,-3.4,2.7,2.4,1.8,-2.5,-3.5,1.6,1.4,1.2,-2.6,-1.9
