State,Population-2011,Population-decadal growth-2001-2011,Population-Rural,Population-Urban,Area(sq km),Population-Density,Sex_Ratio,Child_Nutrition_Coverage_percent_of_Children,Crime_rate_per_100000_2015,Crime_Rate_per_100000_2012,Fertility_rate_2016,Fertility_rate_2013,Fertility_rate_Change_2013-16,Fertility_rate_2004,Fertility_rate_Change_2004-16,GDP_nominal_INR,GDP_nominal_USD,HIV_awareness_male_percent,HIV_awareness_female_percent,HDI_2007-2008,HDI_2015,Home_ownership_2011_percent,Household_size,Number_human_trafficking_cases_2012,Institutional_delivery_percent_2011,Life_expectancy_at_birth,Literacy_Rate_percent_2011,Literacy_Rate_male_2011,Literacy_Rate_female_2011,Literacy_rate_2001,Literacy_rate_Decadal_Difference,Media_exposure_male_percent,Media_exposure_female_percent,Places_of_worship_number,Poverty_percent_bpl,Riots_per_100000_2012,Assaults_on_Women_per_100000_2012,primary_School_Enrollment_Rate_2011,Child_Sex_Ratio,Tax_Revenues_INR_Billions,TV_ownership_2011_percent,TV_ownership_percent_2001,Underweight_Males_percent,Underweight_Females_percent,Unemployment_Total,Unemployment_Urban,Unemployment_Rural,Vaccination_coverage_percent
A & N Islands,379944,6,244411,135533,8249,46,878,,157.9,133,1.5,1.73,0.23,2,0,6150,910,,,,,57.3,,0,98.7,,86.27,90,81,81,4,,,1121,1,1.6,6.97,86.9,968,,68.5,52.4,,,,,,
Andhra Pradesh,49386799,11,34776389,14610410,162968,303,993,47.2,215.6,224,1.8,2.05,0.25,2,1,7,100,93,74,0.473,0.616,78.5,3,13,94.4,68.5,67.4,75,59,,,95,83,159025,9.2,2.2,11.29,92,939,3234,58.8,31.5,22.8,28.8,39,44,38,49.6
Arunachal Pradesh,1382611,25,1069165,313446,83743,17,920,30.2,227.8,192,2.1,2.18,0.08,,,19492,2,75,66,0.573,,68.3,4,0,94.2,,66.95,73,59,54,12,74,68,2363,34.67,2.2,11.22,152,972,27.11,41.1,25.7,29.6,35.7,89,52,93,19.1
Assam,31169272,16,26780526,4388756,78438,397,954,5.9,321.8,250,2.2,2.36,0.16,2,0,2,38,75,53,0.444,0.556,87.9,4,1,78.1,63.9,73.18,78,67,63,9,81,65,90194,31.98,16.3,12.16,84,962,322,27.5,18.3,31.4,34.5,61,101,55,37
Bihar,103804637,25,92075028,11729609,94163,1102,916,29.4,171.6,127,3.4,3.4,,4,0,6,94,70,35,0.367,0.536,96.8,5,20,85.4,68.1,63.82,73,53,47,16,73,45,138493,33.74,10.9,0.25,102.9,935,370,14.5,9.1,26.7,41,60,74,59,39.8
Chandigarh,1054686,17,29004,1025682,114,952,818,59.9,186.5,235,1.6,1.79,0.19,2,0,29368,4,,,,,47.7,,0,89,,86.43,90,81,81,4,,,340,21.81,3.2,7.02,79.3,880,,82.5,73.9,,,,,,
Chhattisgarh,25540196,22,19603658,5936538,135191,189,991,65.1,220.9,221,2.2,2.63,0.46,3,1,2,41,67,41,0.358,,90.2,,20,54.4,64.8,71.04,81,60,64,6,70,56,46095,39.93,3.7,13.02,109.4,969,724,31.3,21.5,29.8,39,19,68,11,54
D & N Haveli,342853,55,183024,159829,491,698,775,57.6,64.4,84,2.3,2.39,0.09,2,0,2440,360,,,,,55.6,,0,54.4,,77.65,86,65,57,20,,,241,39.31,2.9,1.16,103.9,926,,47.2,27.8,,,,,,
Daman & Diu,242911,53,60331,182580,112,2169,618,50.3,94.1,83,1.7,2.03,0.33,2,0,1059,160,,,,,38.3,,0,87.8,,87.07,91,79,78,8,,,477,9.86,3.2,0,78.2,904,,61,49.3,,,,,,
Delhi (Ut),16753235,21,419319,16333916,1484,11297,866,49.7,916.8,283,1.7,1.78,0.08,2,0,6,92,,,0.75,,68.2,,32,95.3,73.2,86.34,91,80,81,4,,,8249,9.91,0.4,8.51,120.1,871,2526,88,74.5,,,,,,
Goa,1457723,8,551414,906309,3702,394,968,58.7,156.4,196,1.7,1.85,0.15,1,0,45548,6,92,83,0.617,,78.9,4,2,99.5,,87.4,92,81,82,5,95,96,5686,5.09,6.7,5.64,101,942,233,,,14.8,18.5,96,58,150,59.3
Gujarat,60383628,19,34670817,25712811,196024,308,918,65.7,203.6,585,2,2.37,0.37,2,0,10,167,80,49,0.527,0.616,83.9,4,2,91.8,68.7,79.31,87,70,69,10,86,75,142135,16.63,2.9,2.62,107.2,890,1796,53.8,38.7,26.2,30.3,9,7,10,55.2
Haryana,25353081,19,16531493,8821588,44212,573,877,43.6,310.4,240,2.1,2.24,0.14,3,0,4,66,87,60,0.552,0.661,88.4,5,20,80.2,68.6,76.64,85,66,67,8,80,71,24519,11.16,5.5,4.4,90.5,834,1363,67.9,53,24.8,25.8,47,39,53,74.8
Himachal Pradesh,6864602,12,6167805,688704,55673,123,974,52.4,198.5,182,1.9,1.99,0.09,2,0,1,19,92,79,0.652,0.67,87.2,4,0,63.5,71.6,83.78,90,76,76,7,89,83,26526,8.06,7.2,7.44,111,909,274,74.4,53.3,17.8,22.3,106,23,117,73
Jammu & Kashmir,12548926,23,9134820,3414106,222236,124,883,65.9,191.2,206,2,1.98,0.02,2,0,1,20,88,61,0.542,0.649,96.7,5,0,76.1,72.6,68.74,78,58,55,13,89,86,32025,10.35,11.8,23.28,104.2,862,346,51,40.7,17.9,19.3,72,36,83,78
Jharkhand,32966238,22,25036946,7929292,79714,414,947,63.6,135.1,147,2.6,2.77,0.17,3,0,2,33,53,29,0.376,,89.3,5,2,77.8,66.6,67.63,78,56,53,14,59,43,50110,36.96,7.3,1.83,121,948,707,26.8,17.2,31.4,40.6,77,94,73,51.1
Karnataka,61130704,15,37552529,23578175,191791,319,968,67.5,224,222,1.8,1.93,0.13,2,0,12,190,85,66,0.519,0.681,74.3,4,100,93.7,68.8,75.6,82,68,66,8,92,81,207332,20.91,12.5,10.03,99.3,948,2964,60,37,23.5,29.4,15,19,13,63.4
Kerala,33387677,4,17445506,15932171,38863,859,1084,60.7,723.2,455,1.6,1.81,0.21,1,0,7,110,99,95,0.79,0.712,90.7,4,105,99.8,74.9,93.91,96,91,90,3,99,94,101140,7.05,31.4,20.92,96.2,964,1382,76.8,38.8,9.9,10.5,125,126,125,79.7
Lakshadweep,64429,6,14121,50308,32,2013,946,,62.5,77,1.8,1.94,0.14,2,0,407,60,,,,,83.5,,0,73.4,,92.28,96,88,86,5,,,430,2.77,13,2.56,,911,,64.1,33.4,,,,,,
Madhya Pradesh,72597565,20,52537899,20059666,308245,236,931,38.2,348.3,298,2.3,2.93,0.63,3,1,7,110,68,45,0.375,0.557,90.9,5,10,83.9,64.2,70.63,80,60,63,6,70,57,142452,31.65,2.6,18.88,122.6,918,1272,32.1,29.6,34.3,38.1,43,40,44,48.9
Maharashtra,112372972,16,61545441,50827531,307713,365,946,58.4,231.2,176,1.9,1.86,0.04,2,0,25,380,87,82,0.572,0.666,81.1,4,20,90.7,71.6,82.91,89,75,76,6,90,80,220458,17.35,7.7,7.19,100,894,4518,56.6,44.1,22.9,30.6,21,23,20,65.1
Manipur,2721756,18,1899624,822132,22327,122,987,21.6,149.5,150,2.6,2.62,0.02,,,14324,2,99,99,0.573,,93.6,5,0,75.5,,79.85,86,73,69,9,97,94,5251,36.89,2.9,3.97,155,930,,47.4,24.2,10.2,11.9,57,70,49,100
Meghalaya,2964007,27,2368971,595036,22429,132,986,57.5,148.2,96,3,3.12,0.12,4,1,27305,4,63,57,0.573,,82,5,0,44.8,,75.48,77,73,62,12,70,64,5771,11.87,0,3.27,153.6,970,45.92,33.7,20.9,6,11.7,48,134,28,82.8
Mizoram,1091014,22,529037,561997,21081,52,975,69.8,211.2,173,2.3,2.65,0.35,3,0,11458,1,96,94,0.573,,65.8,4,2,81.4,,91.58,93,89,88,2,77,67,3154,20.87,0.1,17.17,150.7,970,15.47,55.1,48.3,4,13.3,30,49,15,75.4
Nagaland,1980602,0,1406861,573741,16579,119,931,19.8,55.1,47,2.7,2.71,0.01,,,17727,2,91,81,0.573,,73.8,4,2,66.8,,80.11,83,76,66,13,77,66,2360,18.88,0.1,1.47,85.4,943,17.76,37.9,18.1,8.8,13.9,85,141,69,78
Odisha,41947358,14,34951234,6996124,155707,269,978,58.8,197.3,164,2.1,2.18,0.08,2,0,4,61,73,62,0.362,0.557,90.4,4,1,82.3,65.8,73.45,82,64,63,10,77,65,103350,32.59,5.3,20.53,104.8,941,662,26.7,15.5,30.1,38.5,50,47,51,59.1
Puducherry,1244464,27,394341,850123,479,2598,1038,49.9,209.1,291,1.7,1.86,0.16,1,0,23747,3,,,,,64.9,,21,99.9,,86.55,92,81,81,5,,,2146,9.69,8.6,8.6,103.4,967,,,,,,,,,
Punjab,27704236,13,17316800,10387436,50362,550,893,40.2,131.2,127,1.6,1.85,0.25,2,0,4,61,92,70,0.605,0.661,88.9,5,11,68.5,71.6,76.68,81,71,69,7,98,95,46493,8.26,0,2.62,103.1,846,269.85,82.6,67.7,2.2,2,60,62,59,67.9
Rajasthan,68621012,21,51540236,17080776,342239,201,926,33.4,273.9,246,2.4,2.86,0.46,3,1,7,110,74,34,0.434,0.577,93.2,5,20,88.5,67.7,67.06,80,52,60,6,76,50,166766,14.71,0.8,7.1,99.3,888,1507,37.6,28.1,31.8,31.6,71,43,77,31.9
Sikkim,607688,12,455962,151726,7096,86,889,52.5,119.3,84,1.2,1.45,0.25,2,0,12377,1,89,75,0.573,,64.5,4,4,81.8,,82.2,87,76,68,13,81,77,1049,8.19,3.5,6.51,123.8,957,15.68,54.7,30.9,5.2,7.6,181,168,184,100
