States/UTs,Year,CrimeHead,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above
Andhra Pradesh,2014,Housewife,0,0,0,0,0,1,490,353,154,71
Andhra Pradesh,2014,Profession/Salaried Persons (Total),0,65,87,32,3,0,10,2,4,0
Andhra Pradesh,2014,Govt. Servants (Total),0,21,34,23,1,0,7,0,2,0
Andhra Pradesh,2014,Central/UT Govt. Servants,0,5,5,5,0,0,1,0,0,0
Andhra Pradesh,2014,State Govt. Servants,0,13,14,15,1,0,3,0,2,0
Andhra Pradesh,2014,Other Statutory Body/etc.,0,3,15,3,0,0,3,0,0,0
Andhra Pradesh,2014,Private Sector Enterprises,0,41,47,7,2,0,3,2,2,0
Andhra Pradesh,2014,Public Sector Undertaking,0,3,6,2,0,0,0,0,0,0
Andhra Pradesh,2014,Students,12,143,4,0,0,29,141,4,0,0
Andhra Pradesh,2014,Unemployed Persons,0,105,69,32,3,0,14,5,4,1
Andhra Pradesh,2014,Self-employed Persons (Total),1,313,440,272,77,0,56,21,13,6
Andhra Pradesh,2014,Business (Total),0,128,178,96,21,0,5,4,5,1
Andhra Pradesh,2014,Vendor,0,7,3,3,2,0,0,0,0,0
Andhra Pradesh,2014,Tradesmen,0,2,12,3,1,0,0,0,0,0
Andhra Pradesh,2014,Others,0,119,163,90,18,0,5,4,5,1
Andhra Pradesh,2014,Agriculture (Total),0,148,223,153,49,0,36,14,6,3
Andhra Pradesh,2014,Agricultural Labourers,0,121,166,92,37,0,35,13,5,3
Andhra Pradesh,2014,Farmers (Sub Total),0,27,57,61,12,0,1,1,1,0
Andhra Pradesh,2014,Have Own Land,0,8,28,28,7,0,0,1,1,0
Andhra Pradesh,2014,On Contract/Lease,0,19,29,33,5,0,1,0,0,0
Andhra Pradesh,2014,Others,1,37,39,23,7,0,15,3,2,2
Andhra Pradesh,2014,Daily Wage Earner,2,279,385,185,76,3,53,29,14,7
Andhra Pradesh,2014,Retired Persons,0,0,1,4,14,0,1,0,0,0
Andhra Pradesh,2014,Others,4,527,636,321,128,3,198,136,38,19
Andhra Pradesh,2014,Total,19,1432,1622,846,301,36,963,550,227,104
Arunachal Pradesh,2014,Housewife,0,0,0,0,0,0,8,6,0,0
Arunachal Pradesh,2014,Profession/Salaried Persons (Total),0,10,12,4,0,0,3,0,0,0
Arunachal Pradesh,2014,Govt. Servants (Total),0,4,9,4,0,0,2,0,0,0
Arunachal Pradesh,2014,Central/UT Govt. Servants,0,1,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,State Govt. Servants,0,3,8,3,0,0,2,0,0,0
Arunachal Pradesh,2014,Other Statutory Body/etc.,0,0,1,1,0,0,0,0,0,0
Arunachal Pradesh,2014,Private Sector Enterprises,0,5,3,0,0,0,1,0,0,0
Arunachal Pradesh,2014,Public Sector Undertaking,0,1,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Students,2,11,0,0,0,1,11,0,0,0
Arunachal Pradesh,2014,Unemployed Persons,1,3,3,6,1,0,6,1,0,0
Arunachal Pradesh,2014,Self-employed Persons (Total),0,5,2,1,0,1,1,0,0,0
Arunachal Pradesh,2014,Business (Total),0,2,2,1,0,0,0,0,0,0
Arunachal Pradesh,2014,Vendor,0,1,2,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Tradesmen,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Others,0,1,0,1,0,0,0,0,0,0
Arunachal Pradesh,2014,Agriculture (Total),0,3,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Agricultural Labourers,0,3,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Farmers (Sub Total),0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Have Own Land,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Others,0,0,0,0,0,1,1,0,0,0
Arunachal Pradesh,2014,Daily Wage Earner,0,9,7,1,0,0,0,0,0,0
Arunachal Pradesh,2014,Retired Persons,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Others,1,16,10,4,1,0,7,0,1,0
Arunachal Pradesh,2014,Total,4,54,34,16,2,2,36,7,1,0
Assam,2014,Housewife,0,0,0,0,0,0,195,238,86,3
Assam,2014,Profession/Salaried Persons (Total),0,46,60,21,0,0,0,1,0,0
Assam,2014,Govt. Servants (Total),0,2,7,4,0,0,0,1,0,0
Assam,2014,Central/UT Govt. Servants,0,1,5,2,0,0,0,1,0,0
Assam,2014,State Govt. Servants,0,1,2,1,0,0,0,0,0,0
Assam,2014,Other Statutory Body/etc.,0,0,0,1,0,0,0,0,0,0
Assam,2014,Private Sector Enterprises,0,27,16,8,0,0,0,0,0,0
Assam,2014,Public Sector Undertaking,0,17,37,9,0,0,0,0,0,0
Assam,2014,Students,2,220,2,0,0,1,172,0,0,0
Assam,2014,Unemployed Persons,0,29,58,23,4,0,17,3,0,0
Assam,2014,Self-employed Persons (Total),0,346,403,210,7,0,51,17,2,0
Assam,2014,Business (Total),0,249,295,153,5,0,31,10,2,0
Assam,2014,Vendor,0,60,80,42,0,0,3,3,1,0
Assam,2014,Tradesmen,0,41,57,23,0,0,3,0,0,0
Assam,2014,Others,0,148,158,88,5,0,25,7,1,0
Assam,2014,Agriculture (Total),0,16,19,15,0,0,4,5,0,0
Assam,2014,Agricultural Labourers,0,12,9,8,0,0,4,5,0,0
Assam,2014,Farmers (Sub Total),0,4,10,7,0,0,0,0,0,0
Assam,2014,Have Own Land,0,4,10,7,0,0,0,0,0,0
Assam,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0
Assam,2014,Others,0,81,89,42,2,0,16,2,0,0
Assam,2014,Daily Wage Earner,0,18,27,24,0,0,0,0,0,0
Assam,2014,Retired Persons,0,0,0,7,1,0,0,0,0,0
Assam,2014,Others,5,360,365,225,47,3,160,54,26,7
Assam,2014,Total,7,1019,915,510,59,4,595,313,114,10
Bihar,2014,Housewife,0,0,0,0,0,0,58,36,7,0
Bihar,2014,Profession/Salaried Persons (Total),0,21,9,5,0,0,15,3,1,2
Bihar,2014,Govt. Servants (Total),0,4,1,3,0,0,4,0,1,0
Bihar,2014,Central/UT Govt. Servants,0,1,1,2,0,0,0,0,1,0
Bihar,2014,State Govt. Servants,0,0,0,1,0,0,1,0,0,0
Bihar,2014,Other Statutory Body/etc.,0,3,0,0,0,0,3,0,0,0
Bihar,2014,Private Sector Enterprises,0,12,6,2,0,0,11,3,0,2
Bihar,2014,Public Sector Undertaking,0,5,2,0,0,0,0,0,0,0
Bihar,2014,Students,9,26,5,0,0,3,36,0,0,0
Bihar,2014,Unemployed Persons,0,25,22,4,2,0,6,3,0,0
Bihar,2014,Self-employed Persons (Total),0,22,46,9,0,0,7,2,0,0
Bihar,2014,Business (Total),0,16,43,6,0,0,7,2,0,0
Bihar,2014,Vendor,0,3,3,0,0,0,0,0,0,0
Bihar,2014,Tradesmen,0,1,1,1,0,0,0,0,0,0
Bihar,2014,Others,0,12,39,5,0,0,7,2,0,0
Bihar,2014,Agriculture (Total),0,5,2,3,0,0,0,0,0,0
Bihar,2014,Agricultural Labourers,0,5,2,3,0,0,0,0,0,0
Bihar,2014,Farmers (Sub Total),0,0,0,0,0,0,0,0,0,0
Bihar,2014,Have Own Land,0,0,0,0,0,0,0,0,0,0
Bihar,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Others,0,1,1,0,0,0,0,0,0,0
Bihar,2014,Daily Wage Earner,0,2,6,3,0,0,0,0,0,0
Bihar,2014,Retired Persons,0,0,0,1,0,0,0,0,0,0
Bihar,2014,Others,2,65,46,40,52,1,43,57,17,0
Bihar,2014,Total,11,161,134,62,54,4,165,101,25,2
Chhattisgarh,2014,Housewife,0,0,0,0,0,0,474,320,140,48
Chhattisgarh,2014,Profession/Salaried Persons (Total),1,79,95,73,8,0,13,11,0,0
Chhattisgarh,2014,Govt. Servants (Total),1,33,33,31,6,0,4,4,0,0
Chhattisgarh,2014,Central/UT Govt. Servants,0,7,5,7,0,0,0,0,0,0
Chhattisgarh,2014,State Govt. Servants,0,20,21,20,4,0,4,4,0,0
Chhattisgarh,2014,Other Statutory Body/etc.,1,6,7,4,2,0,0,0,0,0
Chhattisgarh,2014,Private Sector Enterprises,0,43,52,34,2,0,9,7,0,0
Chhattisgarh,2014,Public Sector Undertaking,0,3,10,8,0,0,0,0,0,0
Chhattisgarh,2014,Students,35,180,6,1,0,25,168,0,0,1
Chhattisgarh,2014,Unemployed Persons,0,189,93,21,3,0,14,1,1,1
Chhattisgarh,2014,Self-employed Persons (Total),3,373,420,323,64,2,92,58,20,13
Chhattisgarh,2014,Business (Total),2,112,113,73,16,0,21,10,1,1
Chhattisgarh,2014,Vendor,0,8,28,14,0,0,0,0,0,0
Chhattisgarh,2014,Tradesmen,0,2,8,18,0,0,0,0,0,0
Chhattisgarh,2014,Others,2,102,77,41,16,0,21,10,1,1
Chhattisgarh,2014,Agriculture (Total),1,185,230,195,37,0,52,35,12,8
Chhattisgarh,2014,Agricultural Labourers,1,94,73,77,12,0,24,22,8,1
Chhattisgarh,2014,Farmers (Sub Total),0,91,157,118,25,0,28,13,4,7
Chhattisgarh,2014,Have Own Land,0,84,133,104,25,0,28,13,4,7
Chhattisgarh,2014,On Contract/Lease,0,7,24,14,0,0,0,0,0,0
Chhattisgarh,2014,Others,0,76,77,55,11,2,19,13,7,4
Chhattisgarh,2014,Daily Wage Earner,0,184,229,110,23,0,46,32,15,2
