STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above
TOTAL (ALL INDIA),2013,By Over Alcoholism,1,272,619,456,205,0,26,10,17,3
TOTAL (ALL INDIA),2013,By Drowning,244,1490,1737,1028,442,160,1073,763,434,275
TOTAL (ALL INDIA),2013,By Fire/Self Immolation,60,1081,1466,770,295,143,2882,1981,811,475
TOTAL (ALL INDIA),2013,By Fire-Arms,4,112,150,71,13,2,81,52,17,8
TOTAL (ALL INDIA),2013,By Hanging,415,12172,13862,8489,3031,391,7847,4528,2111,790
TOTAL (ALL INDIA),2013,By Consuming Insecticides,81,3806,4434,3283,1358,122,2919,1926,990,539
TOTAL (ALL INDIA),2013,By Consuming Other Poison,129,3226,4359,3145,1238,164,2539,2014,951,402
TOTAL (ALL INDIA),2013,By Self Infliction of injury,5,99,131,107,36,4,81,54,24,14
TOTAL (ALL INDIA),2013,By Jumping from (Building),16,120,175,132,55,8,56,39,29,16
TOTAL (ALL INDIA),2013,By Jumping from (Other sites),20,143,166,130,27,17,87,57,12,14
TOTAL (ALL INDIA),2013,By Jumping off Moving Vehicles/Trains,2,186,193,100,26,0,66,46,15,3
TOTAL (ALL INDIA),2013,By Machine,1,23,37,17,3,1,9,6,4,1
TOTAL (ALL INDIA),2013,By Overdose of sleeping pills,3,82,109,85,31,0,95,69,31,21
TOTAL (ALL INDIA),2013,By touching electric wires,31,242,284,176,37,16,60,62,33,11
TOTAL (ALL INDIA),2013,By coming under running vehicles/trains,42,1122,1240,1017,441,30,323,244,175,104
TOTAL (ALL INDIA),2013,By Other means (please specify),492,2540,3137,2819,1119,287,1508,1656,1006,416
TOTAL (ALL INDIA),2013,Total,1546,26716,32099,21825,8357,1345,19652,13507,6660,3092
TOTAL (ALL INDIA),2013,Total (Poison),215,7131,8924,6535,2632,290,5539,3994,1965,955
TOTAL (ALL INDIA),2013,Total (Jumping),36,263,341,262,82,25,143,96,41,30
TOTAL (STATES),2013,By Over Alcoholism,1,267,614,455,205,0,25,9,17,3
TOTAL (STATES),2013,By Drowning,244,1476,1715,1014,440,160,1065,761,433,275
TOTAL (STATES),2013,By Fire/Self Immolation,58,1075,1454,762,290,142,2853,1966,806,473
TOTAL (STATES),2013,By Fire-Arms,4,109,142,66,13,2,80,51,17,8
TOTAL (STATES),2013,By Hanging,396,11560,13322,8194,2935,369,7442,4363,2076,762
TOTAL (STATES),2013,By Consuming Insecticides,81,3780,4405,3263,1355,122,2899,1917,986,539
TOTAL (STATES),2013,By Consuming Other Poison,128,3168,4311,3112,1220,158,2482,1992,941,400
TOTAL (STATES),2013,By Self Infliction of injury,5,96,131,106,35,4,81,54,24,14
TOTAL (STATES),2013,By Jumping from (Building),15,113,170,127,53,8,53,38,29,15
TOTAL (STATES),2013,By Jumping from (Other sites),20,140,166,128,27,17,87,56,12,14
TOTAL (STATES),2013,By Jumping off Moving Vehicles/Trains,2,186,193,100,26,0,66,46,15,3
