States/UTs,Year,CrimeHead,Male upto 14 years,Male 14-29 years,Male 30-45 years,Male 45-60 years,Male 60 years and above,Female upto 14 years,Female 14-29 years,Female 30-45 years,Female 45-60 years,Female 60 years and above
Andhra Pradesh,2014,By consuming Sleeping Pills,0,40,4,12,3,0,20,11,2,3
Andhra Pradesh,2014,By Drowning,3,41,37,21,11,1,57,26,16,10
Andhra Pradesh,2014,By Fire/Self Immolation,1,65,82,24,5,7,133,79,32,20
Andhra Pradesh,2014,By Firearms,0,5,3,4,1,0,1,6,6,2
Andhra Pradesh,2014,By Hanging,4,401,430,165,39,8,274,132,41,6
Andhra Pradesh,2014,By Poison,5,584,707,417,147,10,358,214,93,46
Andhra Pradesh,2014,By Consuming Insecticides,0,229,286,171,63,3,106,57,25,19
Andhra Pradesh,2014,By Consuming other Poison,5,355,421,246,84,7,252,157,68,27
Andhra Pradesh,2014,By Self inflicting  Injury,0,2,2,3,2,0,1,1,0,0
Andhra Pradesh,2014,By Jumping from,0,4,6,1,1,0,1,2,1,0
Andhra Pradesh,2014,Building,0,3,3,0,1,0,1,1,0,0
Andhra Pradesh,2014,Other sites,0,1,3,1,0,0,0,1,1,0
Andhra Pradesh,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2014,By Coming under running vehicles/trains,0,180,205,107,57,0,22,21,10,8
Andhra Pradesh,2014,By touching electric wire,0,3,0,1,1,0,0,0,0,0
Andhra Pradesh,2014,By Other means,6,107,146,91,34,10,96,58,26,9
Andhra Pradesh,2014,Total,19,1432,1622,846,301,36,963,550,227,104
Arunachal Pradesh,2014,By consuming Sleeping Pills,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,By Drowning,0,6,3,0,0,0,0,0,0,0
Arunachal Pradesh,2014,By Fire/Self Immolation,0,0,1,0,0,0,0,0,0,0
Arunachal Pradesh,2014,By Firearms,0,3,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,By Hanging,2,28,20,5,0,2,27,6,1,0
Arunachal Pradesh,2014,By Poison,0,3,0,0,0,0,4,1,0,0
Arunachal Pradesh,2014,By Consuming Insecticides,0,0,0,0,0,0,1,1,0,0
Arunachal Pradesh,2014,By Consuming other Poison,0,3,0,0,0,0,3,0,0,0
Arunachal Pradesh,2014,By Self inflicting  Injury,0,0,0,1,1,0,1,0,0,0
Arunachal Pradesh,2014,By Jumping from,0,1,1,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Building,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Other sites,0,0,1,0,0,0,0,0,0,0
Arunachal Pradesh,2014,By Jumping off moving trains/vehicles,0,1,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,By touching electric wire,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,By Other means,2,13,9,10,1,0,4,0,0,0
Arunachal Pradesh,2014,Total,4,54,34,16,2,2,36,7,1,0
Assam,2014,By consuming Sleeping Pills,0,0,0,0,0,0,0,0,0,0
Assam,2014,By Drowning,1,145,111,64,6,1,74,22,8,1
Assam,2014,By Fire/Self Immolation,0,20,7,2,0,0,31,11,7,0
Assam,2014,By Firearms,0,1,1,1,1,0,0,0,0,0
Assam,2014,By Hanging,4,536,496,271,32,0,302,171,67,6
Assam,2014,By Poison,0,107,103,40,6,0,100,56,11,0
Assam,2014,By Consuming Insecticides,0,8,7,5,0,0,10,2,0,0
Assam,2014,By Consuming other Poison,0,99,96,35,6,0,90,54,11,0
Assam,2014,By Self inflicting  Injury,0,0,0,0,0,0,0,0,0,0
Assam,2014,By Jumping from,0,8,9,2,0,0,2,0,0,0
Assam,2014,Building,0,0,0,0,0,0,0,0,0,0
Assam,2014,Other sites,0,5,4,2,0,0,1,0,0,0
Assam,2014,By Jumping off moving trains/vehicles,0,3,5,0,0,0,1,0,0,0
Assam,2014,By Coming under running vehicles/trains,0,22,31,23,6,0,13,3,3,0
Assam,2014,By touching electric wire,0,34,11,4,0,0,1,1,0,0
Assam,2014,By Other means,2,146,146,103,8,3,72,49,18,3
Assam,2014,Total,7,1019,915,510,59,4,595,313,114,10
Bihar,2014,By consuming Sleeping Pills,0,7,3,9,0,1,2,3,1,0
Bihar,2014,By Drowning,2,14,14,10,0,1,17,8,1,0
Bihar,2014,By Fire/Self Immolation,2,5,3,4,0,0,27,10,2,0
Bihar,2014,By Firearms,0,3,3,1,0,0,0,0,0,0
Bihar,2014,By Hanging,4,65,42,13,1,2,64,33,2,1
Bihar,2014,By Poison,0,39,16,3,0,0,32,19,1,0
Bihar,2014,By Consuming Insecticides,0,32,3,1,0,0,22,11,1,0
Bihar,2014,By Consuming other Poison,0,7,13,2,0,0,10,8,0,0
Bihar,2014,By Self inflicting  Injury,0,1,0,0,0,0,2,0,0,0
Bihar,2014,By Jumping from,0,1,0,0,0,0,0,3,0,0
Bihar,2014,Building,0,1,0,0,0,0,0,0,0,0
Bihar,2014,Other sites,0,0,0,0,0,0,0,0,0,0
Bihar,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,3,0,0
Bihar,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Bihar,2014,By touching electric wire,0,5,3,1,0,0,0,0,0,0
Bihar,2014,By Other means,3,21,50,21,53,0,21,25,18,1
Bihar,2014,Total,11,161,134,62,54,4,165,101,25,2
Chhattisgarh,2014,By consuming Sleeping Pills,0,7,3,3,2,0,5,1,0,0
Chhattisgarh,2014,By Drowning,3,17,16,9,9,1,19,6,4,4
Chhattisgarh,2014,By Fire/Self Immolation,4,106,67,30,9,5,273,97,29,17
Chhattisgarh,2014,By Firearms,0,5,6,1,1,0,0,0,0,0
Chhattisgarh,2014,By Hanging,24,824,718,437,109,13,401,156,117,43
Chhattisgarh,2014,By Poison,15,357,296,192,80,14,268,168,69,35
Chhattisgarh,2014,By Consuming Insecticides,5,165,146,91,49,5,137,91,35,20
Chhattisgarh,2014,By Consuming other Poison,10,192,150,101,31,9,131,77,34,15
Chhattisgarh,2014,By Self inflicting  Injury,0,1,2,5,2,0,3,2,1,2
Chhattisgarh,2014,By Jumping from,0,32,23,16,2,0,8,6,5,1
Chhattisgarh,2014,Building,0,3,3,3,0,0,1,0,0,0
Chhattisgarh,2014,Other sites,0,9,4,2,1,0,2,0,1,0
Chhattisgarh,2014,By Jumping off moving trains/vehicles,0,20,16,11,1,0,5,6,4,1
Chhattisgarh,2014,By Coming under running vehicles/trains,1,38,41,18,9,1,16,9,4,4
Chhattisgarh,2014,By touching electric wire,1,23,10,6,2,1,3,4,1,1
Chhattisgarh,2014,By Other means,7,61,40,49,24,8,43,31,15,6
Chhattisgarh,2014,Total,55,1471,1222,766,249,43,1039,480,245,113
Goa,2014,By consuming Sleeping Pills,0,0,0,1,0,0,0,0,0,0
Goa,2014,By Drowning,0,6,11,11,3,0,6,5,3,7
Goa,2014,By Fire/Self Immolation,0,1,1,2,0,0,1,3,1,1
Goa,2014,By Firearms,0,0,0,0,1,0,0,0,0,0
Goa,2014,By Hanging,1,49,50,38,13,2,26,13,7,3
Goa,2014,By Poison,0,6,6,0,0,0,4,2,1,0
Goa,2014,By Consuming Insecticides,0,1,1,0,0,0,0,2,1,0
Goa,2014,By Consuming other Poison,0,5,5,0,0,0,4,0,0,0
Goa,2014,By Self inflicting  Injury,0,0,0,0,0,0,0,0,0,0
Goa,2014,By Jumping from,0,2,0,0,0,0,1,0,1,0
Goa,2014,Building,0,1,0,0,0,0,0,0,1,0
Goa,2014,Other sites,0,1,0,0,0,0,1,0,0,0
