States/UTs,Year,CrimeHead,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above
Andhra Pradesh,2014,Bankruptcy or indebtedness,0,77,148,78,12,0,13,12,3,2
Andhra Pradesh,2014,Marriage Related Issues,0,26,24,12,3,1,54,34,7,0
Andhra Pradesh,2014,Non Settlement of Marriage,0,7,9,0,0,0,14,4,1,0
Andhra Pradesh,2014,Dowry Related Issues,0,0,0,0,0,0,26,8,2,0
Andhra Pradesh,2014,Extra Marital affairs,0,1,2,0,0,0,2,7,3,0
Andhra Pradesh,2014,Divorce,0,7,3,3,3,0,4,5,0,0
Andhra Pradesh,2014,Others,0,11,10,9,0,1,8,10,1,0
Andhra Pradesh,2014,Failure in Examination,2,53,0,0,0,2,34,1,1,0
Andhra Pradesh,2014,Impotency/Infertility,0,1,2,3,0,0,1,1,0,0
Andhra Pradesh,2014,Other Family problems,3,231,310,101,27,9,198,135,46,7
Andhra Pradesh,2014,Illness,2,264,366,253,136,6,255,157,95,62
Andhra Pradesh,2014,AIDS/STD,0,4,11,6,1,0,4,3,0,0
Andhra Pradesh,2014,Cancer,0,1,2,1,0,0,0,0,2,1
Andhra Pradesh,2014,Paralysis,0,1,0,6,0,0,0,0,0,1
Andhra Pradesh,2014,Insanity/Mental illness,0,44,48,25,18,0,33,18,9,6
Andhra Pradesh,2014,Other prolonged illness,2,214,305,215,117,6,218,136,84,54
Andhra Pradesh,2014,Death of dear person,0,23,22,19,1,0,11,4,2,1
Andhra Pradesh,2014,Drug abuse/addiction,0,23,34,33,5,0,1,1,0,0
Andhra Pradesh,2014,Fall in social reputation,0,5,0,0,1,0,5,0,0,0
Andhra Pradesh,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2014,Love affairs,0,80,7,0,0,1,48,0,0,0
Andhra Pradesh,2014,Poverty,0,49,65,42,9,2,7,13,3,2
Andhra Pradesh,2014,Unemployment,0,47,22,1,0,0,0,0,0,0
Andhra Pradesh,2014,Property dispute,0,8,16,6,3,0,3,1,2,0
Andhra Pradesh,2014,Suspected/Illicit relation,0,16,11,2,2,0,10,15,4,1
Andhra Pradesh,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,1,0,0,0
Andhra Pradesh,2014,Professional/Career Problem,0,7,8,4,0,0,1,0,0,0
Andhra Pradesh,2014,Causes not known,3,135,175,101,32,4,44,31,18,7
Andhra Pradesh,2014,Other causes,9,387,412,191,70,11,277,145,46,22
Andhra Pradesh,2014,Total,19,1432,1622,846,301,36,963,550,227,104
Arunachal Pradesh,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Marriage Related Issues,0,0,4,0,0,0,0,2,0,0
Arunachal Pradesh,2014,Non Settlement of Marriage,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Divorce,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Others,0,0,4,0,0,0,0,2,0,0
Arunachal Pradesh,2014,Failure in Examination,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Other Family problems,0,15,2,3,0,0,8,4,0,0
Arunachal Pradesh,2014,Illness,0,1,0,0,1,0,4,0,0,0
Arunachal Pradesh,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Cancer,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Insanity/Mental illness,0,1,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Other prolonged illness,0,0,0,0,1,0,4,0,0,0
Arunachal Pradesh,2014,Death of dear person,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Drug abuse/addiction,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Fall in social reputation,2,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
