,State,Year,Gender,Education,Total,Population
0,A & N Islands,2001,Female,Matriculate/Secondary (Upto Class-10),6,3625.0
1,A & N Islands,2001,Female,Middle (Upto Class-8),33,6835.0
2,A & N Islands,2001,Female,No Education,4,4832.0
3,A & N Islands,2001,Female,Primary (Upto Class-5),7,24488.0
4,A & N Islands,2001,Male,Graduate And Above,1,676.0
5,A & N Islands,2001,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),2,1794.0
6,A & N Islands,2001,Male,Matriculate/Secondary (Upto Class-10),10,3927.0
7,A & N Islands,2001,Male,Middle (Upto Class-8),39,7416.0
8,A & N Islands,2001,Male,No Education,7,5153.0
9,A & N Islands,2001,Male,Primary (Upto Class-5),20,27106.0
10,A & N Islands,2002,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),3,1733.0
11,A & N Islands,2002,Female,Matriculate/Secondary (Upto Class-10),5,3844.0
12,A & N Islands,2002,Female,Middle (Upto Class-8),45,6888.0
13,A & N Islands,2002,Male,Graduate And Above,2,806.0
14,A & N Islands,2002,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),1,1947.0
15,A & N Islands,2002,Male,Matriculate/Secondary (Upto Class-10),17,4145.0
16,A & N Islands,2002,Male,Middle (Upto Class-8),55,7529.0
17,A & N Islands,2002,Male,Primary (Upto Class-5),15,26675.0
18,A & N Islands,2003,Female,Graduate And Above,2,815.0
19,A & N Islands,2003,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),1,1901.0
20,A & N Islands,2003,Female,Matriculate/Secondary (Upto Class-10),21,4063.0
21,A & N Islands,2003,Female,Middle (Upto Class-8),17,6941.0
22,A & N Islands,2003,Female,No Education,1,5050.0
23,A & N Islands,2003,Female,Primary (Upto Class-5),1,23852.0
24,A & N Islands,2003,Male,Graduate And Above,2,936.0
25,A & N Islands,2003,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),4,2100.0
26,A & N Islands,2003,Male,Matriculate/Secondary (Upto Class-10),15,4363.0
27,A & N Islands,2003,Male,Middle (Upto Class-8),42,7642.0
28,A & N Islands,2003,Male,No Education,2,5265.0
29,A & N Islands,2003,Male,Primary (Upto Class-5),5,26244.0
30,A & N Islands,2004,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),5,2069.0
31,A & N Islands,2004,Female,Matriculate/Secondary (Upto Class-10),10,4282.0
32,A & N Islands,2004,Female,Middle (Upto Class-8),18,6994.0
33,A & N Islands,2004,Female,No Education,1,5159.0
34,A & N Islands,2004,Female,Primary (Upto Class-5),7,23534.0
35,A & N Islands,2004,Male,Graduate And Above,1,1066.0
36,A & N Islands,2004,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),9,2253.0
37,A & N Islands,2004,Male,Matriculate/Secondary (Upto Class-10),19,4581.0
38,A & N Islands,2004,Male,Middle (Upto Class-8),30,7755.0
39,A & N Islands,2004,Male,No Education,5,5321.0
40,A & N Islands,2004,Male,Primary (Upto Class-5),17,25813.0
41,A & N Islands,2005,Female,Graduate And Above,1,1069.0
42,A & N Islands,2005,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),2,2237.0
43,A & N Islands,2005,Female,Matriculate/Secondary (Upto Class-10),18,4501.0
44,A & N Islands,2005,Female,Middle (Upto Class-8),14,7047.0
45,A & N Islands,2005,Female,No Education,4,5268.0
46,A & N Islands,2005,Female,Primary (Upto Class-5),14,23216.0
47,A & N Islands,2005,Male,Graduate And Above,1,1196.0
48,A & N Islands,2005,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),3,2406.0
49,A & N Islands,2005,Male,Matriculate/Secondary (Upto Class-10),8,4799.0
50,A & N Islands,2005,Male,Middle (Upto Class-8),37,7868.0
51,A & N Islands,2005,Male,No Education,15,5377.0
52,A & N Islands,2005,Male,Primary (Upto Class-5),22,25382.0
53,A & N Islands,2006,Female,Matriculate/Secondary (Upto Class-10),7,4720.0
54,A & N Islands,2006,Female,Middle (Upto Class-8),14,7100.0
55,A & N Islands,2006,Female,No Education,2,5377.0
56,A & N Islands,2006,Female,Primary (Upto Class-5),14,22898.0
57,A & N Islands,2006,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),2,2559.0
58,A & N Islands,2006,Male,Matriculate/Secondary (Upto Class-10),5,5017.0
59,A & N Islands,2006,Male,Middle (Upto Class-8),43,7981.0
60,A & N Islands,2006,Male,No Education,8,5433.0
61,A & N Islands,2006,Male,Primary (Upto Class-5),38,24951.0
62,A & N Islands,2007,Female,Graduate And Above,1,1323.0
63,A & N Islands,2007,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),6,2573.0
64,A & N Islands,2007,Female,Matriculate/Secondary (Upto Class-10),27,4939.0
65,A & N Islands,2007,Female,Middle (Upto Class-8),10,7153.0
66,A & N Islands,2007,Female,No Education,8,5486.0
67,A & N Islands,2007,Female,Primary (Upto Class-5),4,22580.0
68,A & N Islands,2007,Male,Graduate And Above,1,1456.0
69,A & N Islands,2007,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),7,2712.0
70,A & N Islands,2007,Male,Matriculate/Secondary (Upto Class-10),33,5235.0
71,A & N Islands,2007,Male,Middle (Upto Class-8),30,8094.0
72,A & N Islands,2007,Male,No Education,19,5489.0
73,A & N Islands,2007,Male,Primary (Upto Class-5),10,24520.0
74,A & N Islands,2008,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),9,2741.0
75,A & N Islands,2008,Female,Matriculate/Secondary (Upto Class-10),13,5158.0
76,A & N Islands,2008,Female,Middle (Upto Class-8),12,7206.0
77,A & N Islands,2008,Female,No Education,4,5595.0
78,A & N Islands,2008,Female,Primary (Upto Class-5),6,22262.0
79,A & N Islands,2008,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),17,2865.0
80,A & N Islands,2008,Male,Matriculate/Secondary (Upto Class-10),36,5453.0
81,A & N Islands,2008,Male,Middle (Upto Class-8),28,8207.0
82,A & N Islands,2008,Male,No Education,11,5545.0
83,A & N Islands,2008,Male,Primary (Upto Class-5),6,24089.0
84,A & N Islands,2009,Female,Graduate And Above,1,1577.0
85,A & N Islands,2009,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),2,2909.0
86,A & N Islands,2009,Female,Matriculate/Secondary (Upto Class-10),13,5377.0
87,A & N Islands,2009,Female,Middle (Upto Class-8),27,7259.0
88,A & N Islands,2009,Female,No Education,1,5704.0
89,A & N Islands,2009,Female,Primary (Upto Class-5),1,21944.0
90,A & N Islands,2009,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),4,3018.0
91,A & N Islands,2009,Male,Matriculate/Secondary (Upto Class-10),29,5671.0
92,A & N Islands,2009,Male,Middle (Upto Class-8),43,8320.0
93,A & N Islands,2009,Male,No Education,2,5601.0
94,A & N Islands,2009,Male,Primary (Upto Class-5),8,23658.0
95,A & N Islands,2010,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),10,3077.0
96,A & N Islands,2010,Female,Matriculate/Secondary (Upto Class-10),16,5596.0
97,A & N Islands,2010,Female,Middle (Upto Class-8),8,7312.0
98,A & N Islands,2010,Female,No Education,6,5813.0
99,A & N Islands,2010,Female,Primary (Upto Class-5),4,21626.0
