Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institution - Persons,Population attending educational institution - Males,Population attending educational institution - Females,Illiterates - Persons,Illiterates - Males,Illiterates - Females,Literates - Persons,Literates - Males,Literates - Females,Educational level - Literate without education level - Persons,Educational level - Literate without education level - Males,Educational level - Literate without education level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Persons,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Males,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females
C3311,00,000,INDIA,Total,All ages,1210854977,623270258,587584719,314556926,170537431,144019495,34855675,17662743,17192932,279701251,152874688,126826563,3200984,1781652,1419332,91274286,48507705,42766581,70501132,37440913,33060219,43869289,23844191,20025098,31004639,17351157,13653482,24037369,14012176,10025193,286968,210335,76633,1901225,1390012,511213,12654379,7795976,4858403
C3311,00,000,INDIA,Total,0-4,112806778,58632074,54174704,5398535,2834476,2564059,5398535,2834476,2564059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Total,5,26054230,13725480,12328750,6849778,3641350,3208428,6849778,3641350,3208428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Total,6,25654245,13394700,12259545,11939217,6284920,5654297,11939217,6284920,5654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Total,7,24826640,12903364,11923276,19676440,10311572,9364868,2185649,1122406,1063243,17490791,9189166,8301625,205039,115659,89380,17171435,9011077,8160358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Total,8,26968373,14061937,12906436,23351005,12284835,11066170,1103264,555030,548234,22247741,11729805,10517936,192079,107744,84335,21971672,11576775,10394897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Total,9,23424638,12214985,11209653,20978880,11017235,9961645,598210,295072,303138,20380670,10722163,9658507,162476,91147,71329,17840545,9409077,8431468,2316151,1188679,1127472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Total,10,30552107,16089436,14462671,26838039,14260456,12577583,595161,290247,304914,26242878,13970209,12272669,205380,116503,88877,17336150,9306677,8029473,8628801,4507322,4121479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Total,11,24740946,12962604,11778342,22165268,11708951,10456317,363590,174779,188811,21801678,11534172,10267506,164157,93354,70803,7519496,4074498,3444998,14062303,7335711,6726592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Total,12,27877307,14637892,13239415,24274893,12900947,11373946,346478,162946,183532,23928415,12738001,11190414,179354,102434,76920,4322845,2353370,1969475,16906387,8966659,7939728,2462281,1283849,1178432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
