State,Gender,Type,Total,Year
Jammu & Kashmir,Female,Below Primary,405577.0,2011
Jammu & Kashmir,Female,Graduate & above,88895.0,2011
Jammu & Kashmir,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,136195.0,2011
Jammu & Kashmir,Female,Literate without education level,7233.0,2011
Jammu & Kashmir,Female,Matric/Secondary,194642.0,2011
Jammu & Kashmir,Female,Middle,264968.0,2011
Jammu & Kashmir,Female,Non-technical diploma or certificate not equal to degree,555.0,2011
Jammu & Kashmir,Female,Primary,357303.0,2011
Jammu & Kashmir,Female,Technical diploma or certificate not equal to degree,7009.0,2011
Jammu & Kashmir,Female,Unclassified,5101.0,2011
Jammu & Kashmir,Female,Illiterates,205455.0,2011
Jammu & Kashmir,Female,Literates,1467478.0,2011
Jammu & Kashmir,Female,Population attending educational institution,1672933.0,2011
Jammu & Kashmir,Female,Total population,5900640.0,2011
Jammu & Kashmir,Male,Below Primary,476589.0,2011
Jammu & Kashmir,Male,Graduate & above,121202.0,2011
Jammu & Kashmir,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,176494.0,2011
Jammu & Kashmir,Male,Literate without education level,12998.0,2011
Jammu & Kashmir,Male,Matric/Secondary,248256.0,2011
Jammu & Kashmir,Male,Middle,322282.0,2011
Jammu & Kashmir,Male,Non-technical diploma or certificate not equal to degree,1629.0,2011
Jammu & Kashmir,Male,Primary,422246.0,2011
Jammu & Kashmir,Male,Technical diploma or certificate not equal to degree,11411.0,2011
Jammu & Kashmir,Male,Unclassified,7364.0,2011
Jammu & Kashmir,Male,Illiterates,223229.0,2011
Jammu & Kashmir,Male,Literates,1800471.0,2011
Jammu & Kashmir,Male,Population attending educational institution,2023700.0,2011
Jammu & Kashmir,Male,Total population,6640662.0,2011
Himachal Pradesh,Female,Below Primary,194486.0,2011
Himachal Pradesh,Female,Graduate & above,35183.0,2011
Himachal Pradesh,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,90877.0,2011
Himachal Pradesh,Female,Literate without education level,5687.0,2011
Himachal Pradesh,Female,Matric/Secondary,117678.0,2011
Himachal Pradesh,Female,Middle,135157.0,2011
Himachal Pradesh,Female,Non-technical diploma or certificate not equal to degree,283.0,2011
Himachal Pradesh,Female,Primary,193520.0,2011
Himachal Pradesh,Female,Technical diploma or certificate not equal to degree,4696.0,2011
Himachal Pradesh,Female,Unclassified,1254.0,2011
Himachal Pradesh,Female,Illiterates,76558.0,2011
Himachal Pradesh,Female,Literates,778821.0,2011
Himachal Pradesh,Female,Population attending educational institution,855379.0,2011
Himachal Pradesh,Female,Total population,3382729.0,2011
Himachal Pradesh,Male,Below Primary,221780.0,2011
Himachal Pradesh,Male,Graduate & above,33559.0,2011
Himachal Pradesh,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,98028.0,2011
Himachal Pradesh,Male,Literate without education level,6443.0,2011
Himachal Pradesh,Male,Matric/Secondary,136266.0,2011
Himachal Pradesh,Male,Middle,152858.0,2011
Himachal Pradesh,Male,Non-technical diploma or certificate not equal to degree,456.0,2011
Himachal Pradesh,Male,Primary,222842.0,2011
Himachal Pradesh,Male,Technical diploma or certificate not equal to degree,10333.0,2011
Himachal Pradesh,Male,Unclassified,1412.0,2011
Himachal Pradesh,Male,Illiterates,82420.0,2011
Himachal Pradesh,Male,Literates,883977.0,2011
Himachal Pradesh,Male,Population attending educational institution,966397.0,2011
Himachal Pradesh,Male,Total population,3481873.0,2011
Punjab,Female,Below Primary,782380.0,2011
Punjab,Female,Graduate & above,154988.0,2011
Punjab,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,286756.0,2011
Punjab,Female,Literate without education level,19434.0,2011
Punjab,Female,Matric/Secondary,353162.0,2011
Punjab,Female,Middle,405986.0,2011
Punjab,Female,Non-technical diploma or certificate not equal to degree,1349.0,2011
Punjab,Female,Primary,628225.0,2011
Punjab,Female,Technical diploma or certificate not equal to degree,25638.0,2011
Punjab,Female,Unclassified,5696.0,2011
Punjab,Female,Illiterates,380972.0,2011
Punjab,Female,Literates,2663614.0,2011
Punjab,Female,Population attending educational institution,3044586.0,2011
Punjab,Female,Total population,13103873.0,2011
Punjab,Male,Below Primary,1029865.0,2011
Punjab,Male,Graduate & above,126545.0,2011
Punjab,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,291517.0,2011
Punjab,Male,Literate without education level,26604.0,2011
Punjab,Male,Matric/Secondary,433035.0,2011
Punjab,Male,Middle,515661.0,2011
Punjab,Male,Non-technical diploma or certificate not equal to degree,2973.0,2011
Punjab,Male,Primary,824514.0,2011
Punjab,Male,Technical diploma or certificate not equal to degree,44354.0,2011
Punjab,Male,Unclassified,7356.0,2011
Punjab,Male,Illiterates,454154.0,2011
Punjab,Male,Literates,3302424.0,2011
