,State,Gender,Education,Year,Population
0,Jammu & Kashmir,Female,Below Primary,2001,325196.0
1,Jammu & Kashmir,Female,Below Primary,2011,405577.0
2,Jammu & Kashmir,Female,Below Primary,2002,333235.0
3,Jammu & Kashmir,Female,Below Primary,2003,341274.0
4,Jammu & Kashmir,Female,Below Primary,2004,349313.0
5,Jammu & Kashmir,Female,Below Primary,2005,357352.0
6,Jammu & Kashmir,Female,Below Primary,2006,365391.0
7,Jammu & Kashmir,Female,Below Primary,2007,373430.0
8,Jammu & Kashmir,Female,Below Primary,2008,381469.0
9,Jammu & Kashmir,Female,Below Primary,2009,389508.0
10,Jammu & Kashmir,Female,Below Primary,2010,397547.0
11,Jammu & Kashmir,Female,Below Primary,2012,413616.0
12,Jammu & Kashmir,Female,Below Primary,2013,421655.0
13,Jammu & Kashmir,Female,Below Primary,2014,429694.0
14,Jammu & Kashmir,Female,Graduate & Above,2001,17848.0
15,Jammu & Kashmir,Female,Graduate & Above,2011,88895.0
16,Jammu & Kashmir,Female,Graduate & Above,2002,24953.0
17,Jammu & Kashmir,Female,Graduate & Above,2003,32058.0
18,Jammu & Kashmir,Female,Graduate & Above,2004,39163.0
19,Jammu & Kashmir,Female,Graduate & Above,2005,46268.0
20,Jammu & Kashmir,Female,Graduate & Above,2006,53373.0
21,Jammu & Kashmir,Female,Graduate & Above,2007,60478.0
22,Jammu & Kashmir,Female,Graduate & Above,2008,67583.0
23,Jammu & Kashmir,Female,Graduate & Above,2009,74688.0
24,Jammu & Kashmir,Female,Graduate & Above,2010,81793.0
25,Jammu & Kashmir,Female,Graduate & Above,2012,96000.0
26,Jammu & Kashmir,Female,Graduate & Above,2013,103105.0
27,Jammu & Kashmir,Female,Graduate & Above,2014,110210.0
28,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2001,54381.0
29,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2011,136195.0
30,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2002,62563.0
31,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2003,70745.0
32,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2004,78927.0
33,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2005,87109.0
34,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2006,95291.0
35,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2007,103473.0
36,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2008,111655.0
37,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2009,119837.0
38,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2010,128019.0
39,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2012,144377.0
40,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2013,152559.0
41,Jammu & Kashmir,Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2014,160741.0
42,Jammu & Kashmir,Female,Literate Without Educational Level,2001,3436.0
43,Jammu & Kashmir,Female,Literate Without Educational Level,2011,7233.0
44,Jammu & Kashmir,Female,Literate Without Educational Level,2002,3816.0
45,Jammu & Kashmir,Female,Literate Without Educational Level,2003,4196.0
46,Jammu & Kashmir,Female,Literate Without Educational Level,2004,4576.0
47,Jammu & Kashmir,Female,Literate Without Educational Level,2005,4956.0
48,Jammu & Kashmir,Female,Literate Without Educational Level,2006,5336.0
49,Jammu & Kashmir,Female,Literate Without Educational Level,2007,5716.0
50,Jammu & Kashmir,Female,Literate Without Educational Level,2008,6096.0
51,Jammu & Kashmir,Female,Literate Without Educational Level,2009,6476.0
52,Jammu & Kashmir,Female,Literate Without Educational Level,2010,6856.0
53,Jammu & Kashmir,Female,Literate Without Educational Level,2012,7613.0
54,Jammu & Kashmir,Female,Literate Without Educational Level,2013,7993.0
55,Jammu & Kashmir,Female,Literate Without Educational Level,2014,8373.0
56,Jammu & Kashmir,Female,Matric/Secondary,2001,96939.0
57,Jammu & Kashmir,Female,Matric/Secondary,2011,194642.0
58,Jammu & Kashmir,Female,Matric/Secondary,2002,106710.0
59,Jammu & Kashmir,Female,Matric/Secondary,2003,116481.0
60,Jammu & Kashmir,Female,Matric/Secondary,2004,126252.0
61,Jammu & Kashmir,Female,Matric/Secondary,2005,136023.0
62,Jammu & Kashmir,Female,Matric/Secondary,2006,145794.0
63,Jammu & Kashmir,Female,Matric/Secondary,2007,155565.0
64,Jammu & Kashmir,Female,Matric/Secondary,2008,165336.0
65,Jammu & Kashmir,Female,Matric/Secondary,2009,175107.0
66,Jammu & Kashmir,Female,Matric/Secondary,2010,184878.0
67,Jammu & Kashmir,Female,Matric/Secondary,2012,204413.0
68,Jammu & Kashmir,Female,Matric/Secondary,2013,214184.0
69,Jammu & Kashmir,Female,Matric/Secondary,2014,223955.0
70,Jammu & Kashmir,Female,Middle,2001,162104.0
71,Jammu & Kashmir,Female,Middle,2011,264968.0
72,Jammu & Kashmir,Female,Middle,2002,172391.0
73,Jammu & Kashmir,Female,Middle,2003,182678.0
74,Jammu & Kashmir,Female,Middle,2004,192965.0
75,Jammu & Kashmir,Female,Middle,2005,203252.0
76,Jammu & Kashmir,Female,Middle,2006,213539.0
77,Jammu & Kashmir,Female,Middle,2007,223826.0
78,Jammu & Kashmir,Female,Middle,2008,234113.0
79,Jammu & Kashmir,Female,Middle,2009,244400.0
80,Jammu & Kashmir,Female,Middle,2010,254687.0
81,Jammu & Kashmir,Female,Middle,2012,275255.0
82,Jammu & Kashmir,Female,Middle,2013,285542.0
83,Jammu & Kashmir,Female,Middle,2014,295829.0
84,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2001,44.0
85,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2011,555.0
86,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2002,96.0
87,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2003,148.0
88,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2004,200.0
